step,train_loss,total_steps,train_mean_token_accuracy
99,0.00027216397575102746,99,1.0
98,0.008564312942326069,99,1.0
97,3.3892116334754974e-05,99,1.0
96,0.0069065093994140625,99,1.0
95,4.739027644973248e-05,99,1.0
94,3.337860107421875e-06,99,1.0
93,0.00018715858459472656,99,1.0
92,7.033348083496094e-06,99,1.0
91,0.002997493837028742,99,1.0
90,0.00011589413770707324,99,1.0
89,0.000469207763671875,99,1.0
88,0.00039458274841308594,99,1.0
87,6.580352874152595e-06,99,1.0
86,0.0008059049723669887,99,1.0
85,1.3470649719238281e-05,99,1.0
84,0.006583595182746649,99,1.0
83,0.00045921688433736563,99,1.0
82,0.001479955855756998,99,1.0
81,0.013952030800282955,99,1.0
80,0.00022404010815080255,99,1.0
79,0.013974268920719624,99,1.0
78,0.0002953456132672727,99,1.0
77,3.662109520519152e-05,99,1.0
76,0.0055603752844035625,99,1.0
75,0.04788645729422569,99,1.0
74,0.004471265245229006,99,1.0
73,0.013314598239958286,99,1.0
72,0.00012695789337158203,99,1.0
71,0.0020679235458374023,99,1.0
70,0.0357670783996582,99,1.0
69,0.0026755700819194317,99,1.0
68,0.10333251953125,99,0.9583333134651184
67,0.0031095652375370264,99,1.0
66,0.04951679706573486,99,1.0
65,0.47457560896873474,99,0.8823529481887817
64,0.10007991641759872,99,1.0
63,0.021800408139824867,99,1.0
62,0.026383914053440094,99,1.0
61,0.0013529777061194181,99,1.0
60,0.13370728492736816,99,0.9583333134651184
59,0.0293735321611166,99,1.0
58,0.034298546612262726,99,1.0
57,0.00043404102325439453,99,1.0
56,0.05435929074883461,99,1.0
55,0.008313274011015892,99,1.0
54,0.1215573251247406,99,0.9523809552192688
53,0.19870059192180634,99,0.9166666865348816
52,0.07533347606658936,99,0.9375
51,0.0041697025299072266,99,1.0
50,0.09862694144248962,99,1.0
49,0.2384372055530548,99,0.8823529481887817
48,0.17555296421051025,99,0.9473684430122375
47,0.16324013471603394,99,1.0
46,0.1669486165046692,99,1.0
45,0.35301464796066284,99,0.8999999761581421
44,0.31195369362831116,99,0.9523809552192688
43,0.42186903953552246,99,0.8823529481887817
42,0.059812165796756744,99,0.949999988079071
41,0.31486380100250244,99,0.8947368264198303
40,0.357208251953125,99,0.9230769276618958
39,0.3834072947502136,99,0.8461538553237915
38,0.26170656085014343,99,0.8461538553237915
37,0.03665351867675781,99,1.0
36,0.5882760882377625,99,0.8500000238418579
35,0.1965879201889038,99,1.0
34,0.4812479019165039,99,0.8333333134651184
33,0.7063129544258118,99,0.8500000238418579
32,0.5363132357597351,99,0.8947368264198303
31,0.6552855372428894,99,0.7916666865348816
30,0.6168771982192993,99,0.7692307829856873
29,0.6708090305328369,99,0.8823529481887817
28,0.12238538265228271,99,1.0
27,0.7210091948509216,99,0.7692307829856873
26,0.5629405975341797,99,0.8125
25,0.42375800013542175,99,0.7692307829856873
24,0.6360242962837219,99,0.8095238208770752
23,0.12133922427892685,99,0.949999988079071
22,0.9190650582313538,99,0.7083333134651184
21,0.7079728841781616,99,0.7894737124443054
20,1.1510117053985596,99,0.5384615659713745
19,1.0097620487213135,99,0.5384615659713745
18,1.2130087614059448,99,0.75
17,0.6389681100845337,99,0.692307710647583
16,0.4066427946090698,99,0.875
15,1.1243562698364258,99,0.7058823704719543
14,1.0707355737686157,99,0.75
13,1.3530194759368896,99,0.5714285969734192
12,0.6677922606468201,99,0.8999999761581421
11,1.402357578277588,99,0.5416666865348816
10,1.9063897132873535,99,0.6875
9,2.0478198528289795,99,0.5714285969734192
8,1.1538804769515991,99,0.800000011920929
7,0.49894607067108154,99,0.875
6,1.0176737308502197,99,0.692307710647583
5,2.2866275310516357,99,0.529411792755127
4,2.1723270416259766,99,0.550000011920929
3,3.3275234699249268,99,0.5384615659713745
2,1.482993245124817,99,0.7368420958518982
1,2.147711753845215,99,0.5384615659713745
